index,category,content
1,家居,感恩 总裁 签售 活动 科宝 橱柜 签单 千万 新浪 家居 玲玲 九朝会 科宝 体验 馆内 上演 一场 别开生面 总裁 签售 活动 本次 签售 活动 由科宝 集团 主办 携手 旗下 全国 体验 展开 活动 主题 科宝 橱柜 感恩 旨在 答谢 消费者 科宝 橱柜 信赖 据科宝 总经理 林周 介绍 科宝 选择 电子商务 首次 展开 全国性 上线 联动 活动 本次 活动 采用 预约 线下 参与 体验 模式 近万名 消费者 热烈响应 上线 首次 联动 活动 签单 千万 中午 九朝会 科宝 体验 门前 前来 参加 签售 消费者 排满 长长的 队伍 新浪 家居 记者 现场 距离 签售 活动 两个 小时 店内 聚满 消费者 人声鼎沸 异常 火爆 科宝 橱柜 成立 周年 答谢 老客户 对科宝 橱柜 品牌 多年 支持 特别 推出 一款 新品 赛恩 橱柜 系列 工作人员 介绍 赛恩 橱柜 中国 中产阶级 家庭 橱柜 需求 配置 升级 系列 橱柜 限量供应 系列产品 市场价 万元 答谢 消费者 出售 当天 门店 参加 总裁 签售 消费者 成交价 基础 直降 记者 活动 当天 北京地区 多位 消费者 到达 店内 全国 有近 参与 线下 签售 活动 签售 活动 持续 短短 几个 小时 全国 签单 总量 千万 活动 现场 签售 优惠 之外 抽奖 环节 礼品 丰盛 料理 靠垫 线上 微博 展开 同步 互动 热闹非凡 消费者 不虚此行 关掉 线下 门店 开启 电子商务 旅程 总裁 签售 活动 现场 科宝 总经理 林周 接受 新浪 家居 记者 独家 专访 本次 活动 林周 科宝 橱柜 起家 分散 很大 精力 家装 橱柜 品牌 消费者 心中 影响力 依旧 很大 答谢 消费者 特别 推出 感恩 活动 记者 本次 活动 科宝 选择 电子商务 首次 上线 活动 科宝 试水 电子商务 模式 首次 练兵 林周 介绍 电子商务 未来 发展趋势 市场潜力 电子商务 企业 渠道 成本 投入 至少 原有 模式 节省 一倍 资金 科宝 年初 关掉 线下 门店 专心 电子商务 科宝 选择 模式 林周 解释 线上 线下 原因 是因为 家居 行业 体验 线上 召集 手段 线下 成交 科宝下 一步 很大 心思 建立 线下 体验 平台 服务平台 
2,家居,巴黎 学生 设计 公寓 强大 收纳 功能 组图 最佳 视角 放置 装饰品 视角 站立 眼睛 最舒服 地方 
3,家居,米勒 布鲁克林 度过 童年 温特沃斯 米勒 日生 英国 黑人 父亲 英国 学业 一家 回到 纽约 温特沃斯 米勒 布鲁克林 度过 童年 少年时代 父亲 小时候 教育 每一件 半途而废 越狱 米帅 温特沃斯 米勒 日生 英国 黑人 父亲 英国 学业 一家 回到 纽约 温特沃斯 米勒 布鲁克林 度过 童年 少年时代 父亲 小时候 教育 每一件 半途而废 高中毕业 温特沃斯 米勒 选择 普林斯顿大学 年温 特沃斯 米勒 普林斯顿大学 英国文学 专业 毕业 纽约 洛杉矶 走向 艺术 温特沃斯 米勒 日生 英国 黑人 父亲 英国 学业 一家 回到 纽约 温特沃斯 米勒 布鲁克林 度过 童年 少年时代 父亲 小时候 教育 每一件 半途而废 越狱 米帅 温特沃斯 米勒 日生 英国 黑人 父亲 英国 学业 一家 回到 纽约 温特沃斯 米勒 布鲁克林 度过 童年 少年时代 父亲 小时候 教育 每一件 半途而废 高中毕业 温特沃斯 米勒 选择 普林斯顿大学 年温 特沃斯 米勒 普林斯顿大学 英国文学 专业 毕业 纽约 洛杉矶 走向 艺术 
4,家居,搁板 隐蔽 餐桌 抽拉式 餐桌 见过 抽拉式 餐桌 这款 抽拉式 搁板 隐蔽 餐桌 拉开 搁板 采用 隔热材料 制成 足够 平板 茶壶 咖啡杯 随意 摆在 桌上 推过来 一把 转椅 一顿 简单 早餐 不用 担心 搁板 承重 能力 底部 金属支架 足够 强度 五金 连接件 确保 抽拉 顺畅 不用 推进 空间 恢复 原样 
5,家居,老字号 入驻 装修 东安市场 晨报讯 记者 肖丹 两个 装修 北京 商业 唯一 中华 老字号 企业 东安市场 亮相 全聚德 稻香村 天福 老字号 入驻 特色 食品 旅游 商品 调整 强势 品类 东安市场 调整 重点 区域 地下 一层 老字号 聚集地 全聚德 稻香村 稻香 天福 同仁堂 六必居 吴裕泰 浦五房 盛斋 全素 王致和 王麻子 仿膳 老字号 入驻 老字号 专柜 设立 老字号 品牌 文化 宣传栏 庆祝 重装 开业 老字号 推出 系列 优惠活动 王府井大街 旅游 顾客 东安市场 调整 旅游 商品 强势 品类 汇聚 诸多 知名 旅游 商品 品牌 中国 丝绸 景泰蓝 工艺品 王麻子 木匠 脸谱 泥人 手工艺 制品 
6,家居,意馆 设计 机关算尽 多媒体 全方位 空间 体验 讲座 主题 选择 专业 机关算尽 多媒体 全方位 空间 体验 主讲 嘉宾 古文 香港 梁景华 香港 活动 时间 活动 地点 意馆 深圳市 南山区 华侨城 创意 文化园 现场 文字 实录 梁景华 聚会 聊聊 聚会 每次 邀请 嘉宾 朋友 分享 设计 理念 开心 理念 设计 感觉 一位 嘉宾 姓古 低调 留心 设计师 设计 设计 不单是 室内设计 融合 东西 包括 媒体 设计 简单 很久 第一个 工作 跟着 年前 毕业 第一份 工作 我聘 香港理工大学 毕业 东西 回去 大师 张志强 公司 张志强 公司 时间 设计师 工作 很多年 设计师 再开 公司 效果 特别 想法 机会 一请 答应 非常感谢 机会 嘉宾 一两个 案子 介绍 嘉宾 设计 理念 古文 我姓 古文 对不起 普通话 不太 灵光 举手 告诉 公司 名字 画图 头衔 选择 专业 室内设计 室内设计 请举手 观众 举手 建筑师 有没有 有没有 多媒体 有没有 广告 有没有 音乐 推广 一位 景观 一位 干什么 干嘛 众笑 介绍 选择 专业 室内设计 这部分 介绍 很快 东西 告诉 室内设计 香港 多媒体 设计 媒体 设计师 室内设计 案例 比方说 香港 国际 金融中心 二期 室内设计 图片 香港 国际 金融中心 一期 翻新 工程 设计 香港 世贸中心 大型 购物中心 设计 外立面 内装 设计 香港 新天地 荃湾 购物中心 购物中心 特别 很大 花园 室内设计 公司 方法 超越 大师 大师 梁景华 张志强 同学 许敏聪 同学 方法 超越 方法 案例 这是 东西 这是 推广 中心 样板房 名字 不好 展示 示范 单位 示范 单位 住宅 这是 推广 空间 示范 空间 国际 金融中心 二期 样子 好像 发廊 旅程 推广 东西 放进去 好像 放在 舞台 片子 先给 播放 视频 门口 全是 门开 盒子 坐上去 自动 关闭 这是 灯光 调节 调暗 片子 介绍 国际 中心 样子 玻璃 通透 通透 发现 冰雕 房子 房子 国际 金融中心 左手边 观众 门口 位置 香港 地图 铁路网 将来 单位 交通 演示 敞开 敞开 发现 商场 模型 很大 我要 不用 围着 大堂 设计 设计 模型 旁边 两个 屏幕 演示 这栋 大楼 优点 告诉 客户 这是 虚拟 动画 介绍 介绍 帘子 它升 整栋 大楼 样子 建造 客人 发现 特别 刚刚 这栋 大楼 会议室 谈完 发现 回到 入口 客人 旅程 旅程 综合体 面积 现场 观众 平方 古文 厉害 客户 平米 平米 平米 看过 资料 设计 室内设计 样子 推广 信息 传递 客户 困难 可不可以 东西 放进去 比方说 音乐 比方说 多媒体 比方说 灯光 比方说 动画 东西 好像 东西 推销 工具 这是 第一期 做成 样子 影响 推广 中心 做法 工程 选择 专业 专业 很多很多 加进去 整体 设计 跟着 我会 案例 这是 上海 这是 入口 客户 邀请 客户 坐下 好像 安静 办公室 好像 豆腐 东西 这是 地图 地图 演示 展示 播放 视频 听到 音乐 上海 地方 告诉 位置 办公室 南京 西路 延安 西路 位置 中央 上海 静安区 外滩 机场 多长 分钟 客户 客户 外国人 地方 介绍 重新认识 地方 南京 西路 南京 西路 上海 最早 商业街 墙上 屏幕 好像 品牌 视频 上海 投资者 地方 拍成 好像 美国 曼哈顿 大楼 开门 六条 三角形 柱子 好像 开花 模型 一遍 这栋 大楼 地点 屏幕 客人 感受 很快 这栋 大楼 优点 会议室 会议 旅程 楼层 景观 样子 多一点 多一点 东西 管理 样子 方式 客人 多媒体 演示 中心 地方 模型 推广 工具 空间 演示 推广 工具 好玩 音乐 灯光 多媒体 电影 东西 放在 室内 设计师 还给 名称 室内设计 演示 导演 客户 影楼 这是 新加坡 作品 这是 购物中心 中心 平面图 室内设计 室内 建筑 这是 平面图 两层 一点 一点 楼梯 楼上 楼上 发现 这是 开工 经理 告诉 这棵树 再画 设计 旅程 客人 一条 小河 门开 接待处 这道 开门 客人 地方 地方 开启 灯光 变化 演示 五个 五个 四个 投影机 指示 屏幕 刚刚 看过 片子 灯开 楼上 演示 演示 楼上 楼上 邀请 空间 演示 灯光 变化 门开 客人 现场 入口 入口 这是 内部 屏幕 包括 投影 变化 一点 推广 用心 播放 视频 第一段 品牌 介绍 这是 颜色 比例 还会 动感 颜色 片子 服饰 舞台 夏奈尔 商场 时尚 店铺 片子 地方 灯光 变化 这是 边缘 右手边 一扇门 自动 往上走 黑色 屏幕 演示 投出来 屏幕 屏幕 告诉 位置 购物中心 设计 概念 样子 设施 地铁 购物中心 望塔 顶层 视线 位置 设计 远眺 外面 空地 往下走 第三个 地方 店铺 店铺 客户 坐下 商场 购物中心 优点 谈完 没完 演示 客人 客人 之间 很大 模型 机器 自动 模型 分开 细部 案例 香港 团队 香港 模型 公司 这道 这道 顶层 谈谈 比方说 位置 片子 连在一起 实验 这是 角度 告诉 客户 屏幕 创意 团队 电影 导演 那会 变形 角度 仰头 团队 领导 坐在 实验 屏幕 角度 计算 地方 投影机 投影机 放在 道理 这是 实验 女儿 信心 这是 实验 片子 背景 样子 两个 铁网 变化 样子 一点点 样子 这是 做成 外面 舞台 亲手做 模型 记得 这是 四个 连在一起 一点点 眼力 好像 演示 现场 设计师 参与 拍摄 工作 造型 概念 电影 导演 探讨 教给 程序 记得 片子 几天 新加坡 新加坡 业主 老板 改了 东西 改了 概念 改了 哪一天 同事 香港 同事 香港 导演 小时 电话会议 造型 东西 赶得上 现场 需要的话 设计 道具 东西 投影机 透出来 感觉 感觉 这是 模型 模型 场景 角色 模型 放在 入口 气氛 好像 导演 演员 暗掉 听从 指挥 桌子 桌子 特别 方法 东西 表现 比方说 第一眼 桌子 镜面 桌子 底下 影像 透出来 惊喜 感觉 道具 恐怖 模型 东西 管线 放在 
7,家居,年曲美 家具 经销商 年会 侧记 厂家 经销商 关系 商品 产销 价值 传递 利益 共同体 曲美 家具 给出 答案 志同道合 合作伙伴 家里 日晚 北京 希尔顿酒店 唐宋 厅里 灯火 璀璨 玉壶 光转 乐曲 悠扬 欢声笑语 曲美 家具 全国 经销商 多人 相聚 充满 挑战 辉煌 展望 美好 经销商 年会 更是 自家人 年度 聚会 品味 一份 感恩 情感 流露 高朋满座 大厅 曲美 家具 总裁 赵瑞海 无疑 最为 熟悉 老朋友 打拼 过程 领导 魄力 商业 智慧 道义 相助 无不 在座 心悦诚服 期望 机会 面向 一声 感谢 盛大 聚会 赵瑞海 经销商 一声 感谢 晚会 现场 赵瑞海 十几位 曲美 家具 打拼 经销商 颁发 特制 金牌 以表曲 家具 感激 鼓励 婴儿 成人 岁月 时光 情谊 之深 实在 一言难尽 回顾 经历 燃情 岁月 赵瑞海 这位 叱咤 商界 强人 感情 澎湃 一度 哽咽 合作 经销商 代表 回赠 赵总 礼物 情谊 深长 一份 裱糊 精美 曲美 家具 年度 经销 合同 曲美 家具 合作 多年 感受 经销商 支持 理解 工作 处事 作风 非常感激 现场 一位 经销商 曲美 家具 特有 自家人 企业 文化 年来 支撑 曲美 家具 国内 市场 一步 一步 扎实 走向 成功 伊始 辞旧迎新 时刻 自家人 济济一堂 畅怀 细品 成果 回顾 相聚 感慨 一年 曲美 家具 超越 发展 一年 变革 创新 一年 曲美 家具 低碳 战略 发布会 曲美 集团 携手 气候 组织 淘宝网 达成 目标 战略伙伴 关系 领跑 中国 家具行业 低碳 经济 发展 曲美 家具 沙发 免费 以旧换新 活动 曲美 家具 品质 见证 更是 客户关系 用心 之作 开启 曲美 世界杯 秒杀 之夜 活动 助力 球迷 狂欢节 客户 创造 另类 激情 体验 曲亿团 活动 开创 上线 营销 互动 模式 短短 天内 创下 收获 订单 万份 销售额 亿元 震撼 业绩 行业 先河 备受 业界 瞩目 推出 逸裳 家品 系列 沙发 前卫 华美 清雅 设计 引领 行业 时尚 风潮 时尚 美的 形象 深入人心 坐秀达 活动 开启 面对 年轻 消费 族群 创新 传播方式 高度 呼应 潮流 引领者 品牌形象 携手 气候 组织 参与 支持 碳路 未来 项目 填补 行业 空白 第一个 走上 国际 公益 舞台 中国 家具 品牌 携手 中国 绿色 基金会 推出 绿色 公益 捐树团 活动 低碳 生活 从我做起 企业 内部 公益活动 进一步 塑造 绿色 低碳 负责 企业 公民 形象 四川 成都 经销商 曲美 家具 带给 商业利益 支持 不断创新 过程 带领 成长 努力 商业 事业 受人 尊敬 社会 事业 
8,家居,机器 乐雅轩 香港 著名 导演 刘镇伟 指导 首部 华语 科幻 特效 巨片 机器 国内 热映 胡军 孙俪 方力申 郑中基 吴京 曾志伟 罗家英 一线 明星 倾情 加盟 导演 刘镇伟 拍摄 地点 选定 浙江 慈城 古镇 意欲 营造 一种 小桥流水 诗意 盎然 江南 精致 该片 拍摄 场景 大春哥 胡军 饰演 客厅 卧室 布置 自然主义 田园 风格 主创人员 国内 各大 家具 品牌 挑万选 最终 选中 乐雅轩 家具 田园 雅筑 系列 乐雅轩 田园 雅筑 家具 俄罗斯 进口 水曲柳 印尼 白藤 浓郁 田园 风情 江南 婉约 气质 该片 中大春哥 客厅 卧室 采用 整套 田园 雅筑 家具 有床 衣柜 餐桌椅 电视柜 桌椅 花架 餐边 
9,家居,定制 木门 要防 商家 偷梁换柱 近日 家住 邗江区 消费者 朱先生 来到 消协 投诉 扬州 一家 装饰城 定制 木门 个门套 商家 送货上门 发现 送来 当初 预订 品牌 朱先生 去年 家中 新房 装修 定制 木门 及门套 朋友 介绍 一种 品牌 木门 质量 不错 扬州 一家 装饰城 定制 品牌 木门 外加 个门套 交清 货款 去年 日晚 商家 上门 天黑 仔细 查看 第二天 早上 时才 发现 商家 送来 木门 原先 预订 品牌 找到 商家 解决问题 邗江 消协 工作人员 查看 朱先生 带来 商品 销货单 发现 商品 品名 栏内 写明 品牌 代码 工作人员 商家 商家 更换 品牌 消费者 认可 拿出 两张 定制 木门 规格 图纸 消费者 签字 确认 工作人员 仔细 查看 图纸 发现 两份 图纸 一份 消费者 签字 确认 这张 图纸 标明 商品 品牌 一份 更改 品牌 图纸 朱先生 签字 确认 
10,家居,男性 主题 家居 风格 休闲 布艺沙发 推荐 推荐 单品 布艺沙发 参考价格 单位 三位 贵妃 名称 高档 布艺沙发 品牌 品牌 定制 周期 尺寸 产品 包含 单位 三人位 贵妃 材质 高档 珠光 面料 可换 面料 颜色 编辑 点评 简约 时尚 顾小 白家 基调 休闲 沙发 此类 物件 简约 时尚 基调 珠光 面料 奢华 大气 银灰色 烘托出 家中 格调 符合 男性 主题 家居 模样 
