1,"[{""questionids"": ""27,87,3,56,76,94,17,74,55,96,54,93,79,14,8,31,23,25,34,9"", ""course"": ""数学"", ""content"": ""<p><img src=17f987e258771c2.png></p><p><img src=17f987e28e6ffbe.png></p>""}]"
2,"[{""questionids"": ""19,30,65,93,73,88,6,16,13,18,62,77,10,79,81,8,34,7,38,75"", ""course"": ""语文"", ""content"": ""<p>3000円です。    計算方法は、添付の図を参考にしてください。</p><p><img src=17f9aa61489b117.jpg></p>""}]"
3,"[{""questionids"": ""43,97,59,15,73,5,48,65,58,64,7,39,14,60,67,72,16,23,20,13"", ""course"": ""数学"", ""content"": ""<p>下の画像の通りです。</p><p><img src=17fab9c68dc1320.jpg></p>""}]"
4,"[{""questionids"": ""55,85,34,54,3,50,49,83,42,67,30,38,70,51,98,60,69,76,71,53"", ""course"": ""语文"", ""content"": ""<p><img src=17f9b2a9769337b.jpeg></p><p><img src=17f9b2a9ac41953.jpeg></p><p><img src=17f9b2a9e76c588.jpeg></p><p><img src=17f9b2aa278d7eb.jpeg></p>""}]"
5,"[{""questionids"": ""90,57,38,47,3,91,14,16,59,68,17,18,65,39,41,15,12,63,49,46"", ""course"": ""语文"", ""content"": ""<p>これでどうでしょうか？</p><p><img src=17faa6e7c3ebb49.jpg></p>""}]"
6,"[{""questionids"": ""94,50,69,24,10,68,73,83,93,86,75,77,59,40,90,78,22,70,4,55"", ""course"": ""英语"", ""content"": ""<p>次のように計算します。</p><p><img src=17f68fc7a738504.jpg></p>""}]"
7,"[{""questionids"": ""94,23,7,29,81,95,40,12,74,3,90,16,28,86,39,76,70,97,51,92"", ""course"": ""数学"", ""content"": ""<p><img src=17f6f8706f4c778.jpg></p>""}]"
8,"[{""questionids"": ""99,4,8,80,65,41,23,28,53,48,62,67,43,15,18,71,32,36,61,17"", ""course"": ""英语"", ""content"": ""<p><img src=17f6fd7970f60fa.jpg></p>""}]"
9,"[{""questionids"": ""3,16,73,22,90,92,42,46,52,89,79,85,26,70,39,19,32,86,50,11"", ""course"": ""数学"", ""content"": ""<p><img src=17f0c486fef738b.jpg></p>""}]"
10,"[{""questionids"": ""97,78,99,54,33,19,65,83,32,62,29,13,41,47,69,77,98,61,43,40"", ""course"": ""数学"", ""content"": ""<p><img src=17f0c492ebbb949.jpg></p><p>解答を送信しました</p>""}]"
11,"[{""questionids"": ""82,51,92,57,76,18,41,86,72,36,47,50,49,3,44,31,66,63,7,62"", ""course"": ""数学"", ""content"": ""<p><img src=17f4f6bfa403d7b.jpg></p><p>解答を作成しましたので確認をお願いします。</p>""}]"
12,"[{""questionids"": ""70,63,85,99,20,2,13,26,60,59,9,98,15,25,44,46,6,80,71,74"", ""course"": ""英语"", ""content"": ""<p>どうでしょう？</p><p><img src=17f261ed6cecbcc.jpg></p>""}]"
13,"[{""questionids"": ""19,16,63,74,9,26,12,53,44,7,6,32,97,88,55,65,23,64,24,21"", ""course"": ""语文"", ""content"": ""<p>未知数が3つありますから（10円玉の枚数、50円玉の枚数、100円玉の枚数）条件を3つ探しましょう</p><p><img src=17f4f7bed772127.jpg></p>""}]"
14,"[{""questionids"": ""80,64,78,60,32,62,15,7,49,42,30,54,10,74,56,58,69,55,3,12"", ""course"": ""英语"", ""content"": ""<p>左がアの図、右がイの図です アでは（少しわかりづらいかもしれませんが...）図のような場合が考えられるので２つの直線は必ず平行とは限りません。 イでは２つの平面が平行ならば、その平面はどんな位置でも大きさでも交わる垂直な線はどちらにも垂直になります。</p><p><img src=17f3110a15cf764.jpg></p>""}]"
15,"[{""questionids"": ""47,73,99,41,44,65,19,14,40,12,4,32,13,84,35,38,45,67,9,51"", ""course"": ""英语"", ""content"": ""<p>合ってますよ〜。参考程度に模範解答貼っときますね。 AE=xとおいています。</p><p><img src=17f29edcbce6a0a.jpg></p>""}]"
16,"[{""questionids"": ""92,45,94,65,10,90,60,35,97,29,59,69,2,67,34,91,36,33,55,48"", ""course"": ""数学"", ""content"": ""<p><img src=17f52da0c6ae63f.jpg></p>""}]"
17,"[{""questionids"": ""93,38,84,1,29,96,52,45,22,31,61,21,33,77,44,7,39,100,47,48"", ""course"": ""语文"", ""content"": ""<p>2020を文字でおきましょう。</p><p><img src=17f52e06c050947.jpg></p>""}]"
18,"[{""questionids"": ""31,10,16,75,76,39,21,42,86,23,63,22,74,50,6,97,2,29,61,58"", ""course"": ""语文"", ""content"": ""<p><img src=17f52e0b1acff89.jpg></p>""}]"
19,"[{""questionids"": ""67,80,79,74,73,9,5,30,83,77,88,36,25,28,98,95,97,39,50,21"", ""course"": ""语文"", ""content"": ""<p><img src=17f52efdf07a9c9.jpg></p><p>途中式とかは特になくて、この証明自体が解説になってます！ わからない部分は説明しますね！</p>""}]"
20,"[{""questionids"": ""47,91,94,93,97,92,89,95,63,49,50,78,76,13,70,67,80,62,10,90"", ""course"": ""语文"", ""content"": ""<p><img src=17f52f869c14029.jpg></p>""}]"
21,"[{""questionids"": ""67,91,97,15,52,13,20,72,75,70,32,50,21,36,66,47,57,24,98,58"", ""course"": ""数学"", ""content"": ""<p><img src=17f53004d279eb8.jpg></p><p>今後の参考になりますのでレビューをお願いします</p>""}]"
22,"[{""questionids"": ""40,22,61,84,80,77,20,54,72,26,43,35,97,46,25,66,52,58,85,44"", ""course"": ""语文"", ""content"": ""<p><img src=17f53022e833072.jpg></p>""}]"
23,"[{""questionids"": ""46,100,22,77,3,52,67,15,81,98,99,80,30,63,23,53,86,33,55,25"", ""course"": ""数学"", ""content"": ""<p><img src=17f53030d0f9e0b.jpg></p><p>分からないところがあれば言ってください！</p>""}]"
24,"[{""questionids"": ""8,74,91,67,27,76,26,25,29,36,96,10,16,9,64,87,95,55,28,90"", ""course"": ""数学"", ""content"": ""<p><img src=17f53030c9e22f7.jpg></p><p>以上1枚が解答です。</p>""}]"
25,"[{""questionids"": ""100,8,67,6,25,77,89,88,65,45,13,48,84,46,93,40,32,91,56,33"", ""course"": ""语文"", ""content"": ""<p><img src=17f5304413bc210.jpg></p><p><img src=17f530447ca4b03.jpg></p>""}]"
26,"[{""questionids"": ""3,71,29,83,93,20,1,84,13,40,9,88,6,32,21,28,56,5,34,64"", ""course"": ""英语"", ""content"": ""<p><img src=17f5305d7ddc8df.jpg></p>""}]"
27,"[{""questionids"": ""87,85,99,36,64,49,22,98,40,82,27,56,44,80,29,71,65,32,24,62"", ""course"": ""数学"", ""content"": ""<p><img src=17f530b77d1df07.jpeg></p><p><img src=17f530b7b4ff01b.jpeg></p><p><img src=17f530b7f7af39a.jpg></p>""}]"
28,"[{""questionids"": ""98,17,91,100,39,64,26,55,57,80,43,86,67,12,95,94,82,31,45,89"", ""course"": ""英语"", ""content"": ""<p><img src=17f52f7431dc3e1.jpg></p><p>質問がありましたら、遠慮なくどうぞ！</p>""}]"
29,"[{""questionids"": ""45,8,98,42,9,75,66,71,70,89,4,96,95,54,46,55,37,67,53,80"", ""course"": ""数学"", ""content"": ""<p><img src=17f53102f1fc941.jpg></p>""}]"
30,"[{""questionids"": ""10,88,75,65,89,62,40,60,42,68,47,15,38,41,29,69,94,73,99,12"", ""course"": ""语文"", ""content"": ""<p><img src=17f5322484afdc4.jpg></p>""}]"
31,"[{""questionids"": ""5,74,25,58,24,71,17,98,33,43,59,21,39,73,53,3,49,31,13,35"", ""course"": ""语文"", ""content"": ""<p><img src=17f532237433b5d.jpg></p>""}]"
32,"[{""questionids"": ""20,72,31,92,33,71,91,50,37,99,11,13,27,98,35,53,83,19,94,51"", ""course"": ""英语"", ""content"": ""<p><img src=17f533882b99448.jpg></p>""}]"
33,"[{""questionids"": ""85,67,30,80,78,47,59,36,34,9,82,42,4,14,98,99,70,6,86,52"", ""course"": ""数学"", ""content"": ""<p><img src=17f534294d4caa4.jpg></p>""}]"
34,"[{""questionids"": ""91,81,45,16,5,92,3,79,34,1,12,97,52,58,69,17,86,95,62,80"", ""course"": ""语文"", ""content"": ""<p><img src=17f534acbce0475.jpg></p><p>質問があれば言ってください</p>""}]"
35,"[{""questionids"": ""1,82,77,24,30,59,95,15,92,16,9,98,17,54,19,25,58,7,43,45"", ""course"": ""语文"", ""content"": ""<p><img src=17f5e99f157a2a5.jpg></p>""}]"
36,"[{""questionids"": ""32,23,50,99,74,2,25,18,31,77,45,55,85,52,37,67,64,12,38,58"", ""course"": ""语文"", ""content"": ""<p>球の公式を使って解きます。</p><p><img src=17f68ad26084cb3.jpg></p>""}]"
37,"[{""questionids"": ""23,21,13,77,98,36,58,3,19,37,99,38,89,70,95,4,68,41,18,44"", ""course"": ""数学"", ""content"": ""<p>こちらが答えです。 因数分解を思い出してください。 因数分解をするために無理やり、2xyという項を足して、2xyを引いています。 やっていることは等式に0を足していることと同じです。 因数分解が出来たら、数字を代入して終わりです。</p><p><img src=17f68bdc46b4240.jpg></p>""}]"
38,"[{""questionids"": ""20,52,73,85,4,46,50,54,27,65,15,78,9,91,21,86,22,19,76,41"", ""course"": ""英语"", ""content"": ""<p>A÷B＝A/B  と  約分が理解できれば簡単です。    分かりにくかったら一番下の図を見てください  A/B÷C/D  ＝A/B/C/D  ＝A/B×D/C/C/D×D/C  ＝A/B×D/C/１  ＝A/B×D/C    計算しやすいように÷を/にして約分していくと結果  分数÷分数が分数×逆数になるだけです。    下図の真ん中の約分は分数の分母と分子に同じD/Cをかけているだけです。  （分母と分子に同じ数をかけるのは問題ありません）  最初に分数÷分数を教えるときは約分と÷を/にする計算が難しすぎるから教えないだけじゃないでしょうか？</p><p><img src=17f68d44d02da16.jpg></p>""}]"
39,"[{""questionids"": ""1,18,32,36,61,49,59,7,39,94,98,65,26,79,50,92,51,53,27,29"", ""course"": ""数学"", ""content"": ""<p>可視化しますと図のようになります。  「父と兄の年齢を加えると67」の中から  「父と弟の年齢差38」と「兄弟の年齢差3」を引くと  弟の年令の二倍が出て来ます。    (67−38−3)÷2=13    あとは弟の年令13歳を足がかりに解きます。</p><p><img src=17f68f467acd8c7.jpg></p>""}]"
40,"[{""questionids"": ""16,93,22,87,62,84,14,4,100,53,60,56,90,31,76,82,40,59,12,45"", ""course"": ""英语"", ""content"": ""<p><img src=17fd4f9ecdfb450.jpg></p><p><img src=17fd4f9ef6f46f9.jpg></p><p>分からないところがあれば質問して下さい！</p>""}]"
41,"[{""questionids"": ""19,46,39,22,11,42,60,97,61,73,62,51,27,10,83,48,3,7,67,30"", ""course"": ""英语"", ""content"": ""<p><img src=17fddaf2b069be1.jpg></p><p>平均値、偏差、分散、の順に求め算出します</p><p>答えは➁の2cmです</p>""}]"
42,"[{""questionids"": ""29,96,68,83,34,62,80,17,73,8,98,45,36,74,82,28,63,88,84,49"", ""course"": ""数学"", ""content"": ""<p><img src=17fdeb898199625.jpg></p><p><img src=17fdeb899a1f820.jpg></p><p>これで分かりますか？  (b)はネットで見つけた解説のスクショなので見づらかったらすいません。</p>""}]"
43,"[{""questionids"": ""5,27,2,32,87,4,35,16,9,88,50,14,31,80,100,67,89,22,62,55"", ""course"": ""英语"", ""content"": ""<p><img src=17fe43d5bb7a4e5.jpg></p><p>こんな感じでどうでしょう？</p>""}]"
44,"[{""questionids"": ""95,75,79,80,54,38,18,86,65,92,35,63,68,19,40,93,6,9,60,96"", ""course"": ""数学"", ""content"": ""<p>メモの2×3って可愛いな笑笑</p><p><img src=17f959880af0331.jpg></p>""}]"
45,"[{""questionids"": ""69,62,68,48,79,85,71,16,20,94,78,88,97,83,24,77,36,31,73,32"", ""course"": ""数学"", ""content"": ""<p><img src=17f9b24dbb4753b.jpeg></p><p><img src=17f9b24df1b84cb.jpeg></p><p><img src=17f9b24e270cb06.jpeg></p>""}]"
46,"[{""questionids"": ""74,76,18,28,95,82,85,33,20,65,50,51,69,89,22,8,92,78,68,49"", ""course"": ""数学"", ""content"": ""<p>これでどうでしょう</p><p><img src=17fa0079a160aa9.jpg></p>""}]"
47,"[{""questionids"": ""74,97,49,51,29,88,55,81,9,11,31,72,44,87,37,58,1,96,64,19"", ""course"": ""语文"", ""content"": ""<p><img src=17f4f6990a98c43.jpg></p>""}]"
48,"[{""questionids"": ""51,63,48,24,7,49,60,22,3,64,69,55,96,61,30,82,89,73,6,83"", ""course"": ""语文"", ""content"": ""<p><img src=17f4f6c2932e9bc.jpg></p><p>勉強がんばってください！</p>""}]"
49,"[{""questionids"": ""9,54,17,20,72,93,49,38,68,47,83,57,78,3,61,22,89,94,44,31"", ""course"": ""英语"", ""content"": ""<p><img src=17f4f70b696c9a2.jpg></p><p>これでどうでしょうか？</p>""}]"
50,"[{""questionids"": ""62,87,32,42,27,98,54,86,75,17,60,49,55,95,83,19,61,67,59,57"", ""course"": ""数学"", ""content"": ""<p>解説してみました。 お役に立てればと思います。 もしわからないことや見にくいことがありましたら言ってください。</p><p><img src=17f2887bbad30ee.jpg></p>""}]"
51,"[{""questionids"": ""54,28,11,4,53,84,40,44,8,45,59,62,94,5,33,17,66,41,65,9"", ""course"": ""数学"", ""content"": ""<p><img src=17f4f81b3ecc384.jpg></p><p>はじめまして^ ^このような形になります。よろしくお願いします。</p>""}]"
52,"[{""questionids"": ""23,16,48,15,81,47,8,75,79,52,5,93,27,64,3,88,82,85,13,60"", ""course"": ""语文"", ""content"": ""<p><img src=17f4f82b09a7f18.jpg></p><p>質問がありましたら、遠慮なくどうぞ！</p>""}]"
53,"[{""questionids"": ""72,15,90,29,57,64,87,75,82,59,76,54,2,50,43,73,4,38,33,41"", ""course"": ""数学"", ""content"": ""<p><img src=17f4f854b003f2d.jpg></p>""}]"
54,"[{""questionids"": ""39,76,11,71,4,21,31,18,28,56,16,51,37,85,14,43,97,24,8,38"", ""course"": ""语文"", ""content"": ""<p><img src=17f52d61c5c1ba4.jpg></p>""}]"
55,"[{""questionids"": ""90,93,29,62,52,72,19,32,3,14,51,30,27,34,17,63,48,24,15,88"", ""course"": ""英语"", ""content"": ""<p><img src=17f52e6c06ecd89.jpg></p><p><img src=17f52e6c3243a2e.jpg></p><p><img src=17f52e6c820ff1b.jpg></p><p><img src=17f52e6cc44f280.jpg></p><p><img src=17f52e6cf636afe.jpg></p><p><img src=17f52e6d330b688.jpg></p><p><img src=17f52e6d6bf2f7a.jpg></p>""}]"
56,"[{""questionids"": ""67,2,27,58,90,9,40,17,1,100,84,53,96,32,13,7,12,50,76,70"", ""course"": ""英语"", ""content"": ""<p><img src=17f52e7b37e68fe.jpg></p><p>難しいとは思いますが頑張ってください</p>""}]"
57,"[{""questionids"": ""99,45,17,87,97,46,14,79,16,40,15,94,93,41,59,19,27,43,98,7"", ""course"": ""数学"", ""content"": ""<p><img src=17f52e873a00e22.jpg></p>""}]"
58,"[{""questionids"": ""95,21,94,6,96,81,90,12,3,49,92,63,27,68,20,5,23,56,61,37"", ""course"": ""语文"", ""content"": ""<p><img src=17f52ea6befc1ca.jpg></p><p>どうでしょう！</p>""}]"
59,"[{""questionids"": ""76,80,6,35,90,45,11,1,83,5,67,19,87,32,40,55,56,20,17,61"", ""course"": ""语文"", ""content"": ""<p><img src=17f52f4718a2f73.jpg></p><p>よろしくお願いします！</p>""}]"
60,"[{""questionids"": ""51,93,79,12,83,88,95,94,60,75,33,9,63,11,65,98,28,35,25,80"", ""course"": ""语文"", ""content"": ""<p><img src=17f53263992247a.jpg></p><p>です！ このブーメランは360度なので、360度からわかってる角度を引いて求めることができます！</p>""}]"
61,"[{""questionids"": ""10,5,98,85,3,37,21,6,80,1,97,25,39,48,70,58,88,17,31,95"", ""course"": ""语文"", ""content"": ""<p><img src=17f532e56cd6f48.jpg></p>""}]"
62,"[{""questionids"": ""59,48,30,100,7,70,8,54,82,46,38,95,29,20,41,3,26,6,68,16"", ""course"": ""英语"", ""content"": ""<p><img src=17f53392a906ec8.jpg></p><p>こんな感じですね！疑問点がありましたら遠慮なく仰って下さいね！お疲れ様でした！</p>""}]"
63,"[{""questionids"": ""56,95,1,83,82,84,67,40,55,5,54,29,87,72,61,14,38,79,46,21"", ""course"": ""英语"", ""content"": ""<p><img src=17f5345e66540cb.jpg></p>""}]"
64,"[{""questionids"": ""12,3,62,34,88,54,89,95,40,81,51,9,67,65,43,35,25,38,71,6"", ""course"": ""英语"", ""content"": ""<p><img src=17f53585d89d0ec.jpg></p><p>上の解説でわからないところがあれば質問してくださいね( ´ ▽ ` )ﾉ</p>""}]"
65,"[{""questionids"": ""97,3,14,90,58,78,74,88,56,71,34,89,46,13,51,64,5,94,7,38"", ""course"": ""数学"", ""content"": ""<p>食塩水は表のようにするとしきが分かりやすいと思います。</p><p><img src=17f68dca6e271e1.jpg></p>""}]"
66,"[{""questionids"": ""4,46,90,58,59,60,19,30,32,45,7,73,83,62,50,65,56,23,55,67"", ""course"": ""英语"", ""content"": ""<p>不明点あれば質問お願いします????</p><p><img src=17f8dceba2d04ed.jpg></p>""}]"
67,"[{""questionids"": ""95,50,66,7,31,8,64,92,99,98,52,81,58,82,91,4,44,49,20,76"", ""course"": ""语文"", ""content"": ""<p>ｙ＝2/xになるので、ｘ＝１を代入して解きます。</p><p><img src=17f8e4ca66a919e.jpg></p>""}]"
68,"[{""questionids"": ""90,66,95,62,46,88,3,58,14,19,72,40,76,8,44,20,28,98,50,39"", ""course"": ""数学"", ""content"": ""<p><img src=17f9896b34378c6.jpg></p>""}]"
69,"[{""questionids"": ""75,66,24,51,99,86,64,31,72,29,26,90,42,20,68,30,3,13,14,7"", ""course"": ""语文"", ""content"": ""<p><img src=17fb66788c19e13.jpeg></p><p><img src=17fb6678d95bcc9.jpeg></p><p><img src=17fb667926fa65c.jpeg></p><p><img src=17fb66796c7a428.jpeg></p><p><img src=17fb6679b912dfa.jpeg></p><p><img src=17fb667a007db3b.jpeg></p>""}]"
70,"[{""questionids"": ""100,88,68,25,15,49,22,85,92,8,31,40,1,63,95,77,7,35,38,70"", ""course"": ""英语"", ""content"": ""<p><img src=17f4f6f565eb24b.jpg></p>""}]"
